Season	Pull	Cent	Oppo	Soft	Med	Hard
2002	0.307	0.298	0.395	0.196	0.611	0.193
2003	0.383	0.27	0.347	0.176	0.601	0.223
2004	0.337	0.313	0.35	0.161	0.639	0.2
2005	0.375	0.28	0.345	0.171	0.593	0.237
2006	0.331	0.351	0.318	0.161	0.613	0.225
2007	0.293	0.379	0.328	0.201	0.506	0.293
2008	0.341	0.344	0.314	0.207	0.587	0.206
2009	0.319	0.333	0.349	0.198	0.615	0.187
2010	0.229	0.405	0.366	0.232	0.545	0.222
2011	0.299	0.392	0.31	0.323	0.558	0.119
2012	0.296	0.396	0.308	0.182	0.64	0.178
2013	0.299	0.426	0.275	0.245	0.578	0.176
2014	0.244	0.437	0.319	0.298	0.512	0.19
2015	0.227	0.382	0.391	0.29	0.628	0.082
